question,status,answer
公司有哪些社團？,True,"目前公司有六個社團，志工社、慢跑社、羽球社、桌遊社、瑜珈社以及玩轉音樂社，歡迎各位同仁加入。
聯絡人：Choya/#8904/ChoyaLee@Wistronits.com"
緯創軟體有哪些據點,True,緯創軟體是亞太地區專業的資訊服務領導廠商，全球總共有台北、新竹、台中、武漢、北京、大連、上海、廣州、深圳、珠海、香港、東京、大阪、和美國加州等營業據點。
出差要怎麼申請旅費,True,請填寫BPM表單【出差及銷差申請單】類別為【出差申請】，並在申請單中填寫預估的旅費。若需要預支旅費，需於出差事實發生前將「出差及銷差申請單」列印出送至台北財務室。預支費用請勿超估太多，以免預支費用>實際費用，需匯回公司，造成麻煩。若有其他問題，請聯絡高譽慈/#8840/Elsakao@wistronits.com。
出差旅費一天多少錢,True,"請參考以下資訊：

A: 日本，15日(含)以內：5000日幣，16日(含)以內:5000日幣，31日(含)以上：5000日幣
B: 美國紐約，15日(含)以內：60美金，16日(含)以內:51美金，31日(含)以上：45美金
C: 美國地區紐約以外，15日(含)以內：50美金，16日(含)以內:42.5美金，31日(含)以上：37.5美金
D: 歐洲、蘇俄，15日(含)以內：60美金，16日(含)以內:30美金，31日(含)以上：30美金
E: 加拿大、韓國、香港、澳洲、紐西蘭、新加坡，15日(含)以內：45美金，16日(含)以內:23美金，31日(含)以上：23美金
F: 中南美、非洲諸國、中東、印度、泰國、亞洲其他地區，15日(含)以內：30美金，16日(含)以內:15美金，31日(含)以上：15美金
G: 大陸地區，15日(含)以內：240人民幣，16日(含)以內:180人民幣，31日(含)以上：180人民幣
H: 國內出差，500新台幣/日

若有其他問題，歡迎聯絡高譽慈/#8840/Elsakao@wistronits.com。"
公司有喪葬補助嗎,True,是的，公司有喪葬補助。申請方式為先來信告知承辦人您的員工編號及申請事由，備妥訃聞正本2份或死亡證明影本2份，交給承辦人辦理或郵寄至新北市汐止區新台五路一段93號32樓－賴文政先生。申請對象為公司之補助將納入年度薪資所得。如有其他問題，請聯絡Jason/#8845/Jasonlai@wistronits.com。
父母過世我可以請幾天喪假,True,"入職後，有喪假事由得提出申請，依據親屬關係天數不一，得分開請假，為有薪假
1.父母、養父母、繼父母、配偶喪亡者，給假八天(不含假日)。
您可以請八天的喪假。若有其他問題，歡迎聯絡Yui/#8836/YuiWong@wistronits.com。"
我電腦有問題，請問我可以聯絡誰,True,"請您附上錯誤訊息的電腦畫面截圖，並寄信給人資部承辦人處理。
Yui/#8836/YuiWong@wistronits.com"
我想要知道離職流程,True,請與部門主管提出申請，員工服務中心收到主管的正式通知後會開始進行離職流程。另外，請在BPM表單中完成資產異動申請、工作內容交接、內部系統移轉、請假加班申請單請主管簽核完成。如有其他問題，請聯絡Judy/#8953/JudyHsueh@wistronits.com。
VPN要去哪裡下載,True,"同仁請使用 SSL VPN(PaloAlto) 進行連線，使用手冊如下連結。
https://freefiles.wistronits.com/Wistronits/PaloAltoSSLVPN
謝悰宇/8965/SamXie@wistronits.com"
HRMS網址,True,"HRMS請假加班系統:https://hrmsportal.wistronits.com/portal
謝悰宇/8965/SamXie@wistronits.com"
FAQ網址,True,"請問有關於員工服務的問答題區(FAQ)嗎？
Answer: 有的，https://faq.wistronits.com/redmine"
有提供教育訓練嗎？,True,公司會依據當年度的營運方針舉辦教育訓練課程，內容可分為兩種：內部訓練和外部訓練。若有相關需求，請聯絡Jason/#8845/Jasonlai@wistronits.com。
請問怎麼申請WFH？,False,很抱歉，我無法回答以上問題，請聯絡8855。
請問公司有沒有彈性工時,True,公司標準工時為8小時（不含中午午休1小時）；若您的主管沒有特別要求的狀況下，採彈性上下班。上午8~10點為上班時間、下午5~7點為下班時間。例如：您早上8點上班，則最早可以5點下班離開，但若駐點於客戶現場員工，則依客戶及專案需求的上下班時間為主。Yui/#8836/YuiWong@wistronits.com
請問何時能申請更換設備,True,請參閱問題【我可以幫別人申請資訊系統設備嗎？】操作後，填寫資訊系統需求單，申請內容及細項再依您的需求填寫，並將需求說明清楚經主管核准後，IT人員就會開始幫您準備您所需要的資訊設備。如果無法利用FAQ來回答問題，請聯絡陳源勝/8815/VitoChen@wistronits.com或謝悰宇/8965/SamXie@wistronits.com。
當我忘了帶員工證該如何進公司,True,請向總務同仁登記，總務同仁會協助您進入公司。若有任何問題，請聯絡Yui/#8831/YuiWong@wistronits.com。
門號月底到期，想辦理企客方案，要跟公司這邊辦理還是拿識別證去直營門市辦理呢？,True,您可以先向公司櫃台專員詢問企業電信優惠方案申請資格，若符合資格，再依照申請方式辦理。若有其他疑問，也可以聯絡企業電信優惠方案承辦人Yui，電話號碼為#8836，Email為YuiWong@wistronits.com。
你是誰,True,我是一個AI助手，可以回答您的問題。
有提供午餐嗎,False,很抱歉，我無法回答以上問題，請聯絡8855。
有提供教育訓練嗎,True,答案：公司會依據當年度的營運方針舉辦教育訓練課程，內容可分為兩種：內部訓練和外部訓練。若有相關需求，請聯絡Jason/#8845/Jasonlai@wistronits.com。
緯創軟體的客戶有哪些,False,很抱歉，我無法回答以上問題，請聯絡8855。
我要查這個月薪資明細,True,"請您至人資服務平台查詢。 方法如下：

1.先設定私人郵件地址：
進入HR自助 >人事管理 >員工自助 >我的檔案 >個人資訊 >維護欲收取薪資條密碼之私人郵件地址>點擊保存

2.首次查詢：
至HR自助 >薪資福利 >員工自助 >我的薪資>點選重置密碼，
系統將發送薪資查詢密碼函至您上述指定之私人email。（若您未收到，請試著至您垃圾郵件中查找，並將iSM_HRMS@wistronits.com此一寄件地址設定為安全之寄件者）
輸入初始查詢密碼後，再行登錄可自行按下修改密碼，改為您指定的薪資查詢密碼，未來若忘記密碼，亦請依上述步驟重置密碼

3.查詢薪資明細：
至HR自助 >薪資福利 >員工自助 >我的薪資，輸入欲查詢的月份即可
Maggie/#8839/MaggieWu@wistronits.com"
被資遣怎麼辦,False,很抱歉，我無法回答以上問題，請聯絡8855。
公司是否能處理內部投訴,True,是的，公司設有舉報信箱，如對本公司/子公司或人員涉有違法、不當、不道德之情事，歡迎檢附具體事證檢舉。公司對任何投訴案件均予以保密及建檔專案處理，並督促相關部門儘速查明，請透過舉報信箱與公司聯繫。舉報信箱： audit@wistronits.com。
緯創的汐科辦公室地址？,False,很抱歉，我無法回答以上問題，請聯絡8855。
怎麼退便當,False,很抱歉，我無法回答以上問題，請聯絡8855。
公司幾點開門,False,很抱歉，我無法回答以上問題，請聯絡8855。
燈管不亮要找誰登記,True,請向總務同仁登記。如果需要聯絡人資訊，請聯絡Anita/#8888/AnitaChen@wistronits.com。
怎麼申請車位？,True,您可以向地下四樓 (B4)的停管中心租用汽、機車車位，費用分別是機車車位：1個月/400元，汽車車位：1個月/3300元。若是公司自有的汽車停車位，位於B7地下七樓，員工優惠價為平面車位2000元/月、機械車位1500元/月。請依停管中心公告為主。若有其他問題，請聯絡VicChao/#8927/VicChao@wistronits.com。
按摩的時段是？,False,很抱歉，我無法回答以上問題，請聯絡8855。
怎麼申請新電腦,True,"請參考下方FAQ回答：

Question: 自購電腦，公司有補助嗎？
Answer: 有，請參考下方附件檔案【採購電腦補助管理辦法】辦理。
\\FILES\Pub\系統設定操做手冊\TM-100 採購電腦補助管理辦法_V1.0.pdf 
陳源勝/8815/VitoChen@wistronits.com
謝悰宇/8965/SamXie@wistronits.com

您可以參考上述FAQ中提供的採購電腦補助管理辦法，並聯絡相關聯絡人以了解詳細申請流程。"
怎麼樣寄收包裹？,False,很抱歉，我無法回答以上問題，請聯絡8855。
沒有帶識別證怎麼辦？,False,很抱歉，我無法回答以上問題，請聯絡8855。
公司電話？,True,很抱歉，我無法回答以上問題，請聯絡公司內部櫃台或相關人員詢問。
怎麼設定公司印表機的連線,True,"公司印表機連線方式有以下兩種：
1. 使用網路線連網
2. 無線連網
請參考以下資訊：
Wifi名稱：WITS-Wireless，密碼：使用網域帳密
Wifi名稱：WITS-Guest，密碼：請詢問IT
如果需要進一步協助，請聯絡謝悰宇/8965/SamXie@wistronits.com。"
怎麼知道公司有哪些課程活動,True,"您可以查看公司內部公告或是向主管或承辦人詢問，他們會提供相關的課程活動資訊。另外，公司也會透過郵件或張貼海報公告供同仁報名參加。如果您需要更詳細的資訊，可以聯繫以下聯絡人：

Jason/#8845/Jasonlai@wistronits.com"
公司成立幾年？,False,很抱歉，我無法回答以上問題，請聯絡8855。
公司健檢的時間,True,"公司通常會於每年的第四季辦理年度健康檢查，公司會請健檢承辦的醫療院所至公司辦理相關健檢作業，並請各位同仁回公司參加健康檢查。如果因為公務實在走不開，則會請您跟公司合作的醫院預約時間後，親自赴院參加健康檢查。
聯絡人資訊：VicChao/#8927/VicChao@wistronits.com"
怎麼預約按摩,False,很抱歉，我無法回答以上問題，請聯絡8855。
公司部門的分布平面圖？,False,很抱歉，我無法回答以上問題，請聯絡8855。
公司的逃生出口在哪,True,公司的逃生出口位置會依據不同的辦公室而有所不同，建議您先詢問所在辦公室的主管或安全管理人員，以確保自身安全。
加班費怎麼申請,True,"請在加班事實發生後的三天內，記得至HR Portal填寫加班申請單申請。加班申請流程：https://reurl.cc/QdE1mb。若有任何問題，可以聯絡以下人資部承辦人：
Yui/#8836/YuiWong@wistronits.com"
